codigo,fecha_pago,vr_pre_pago_por_vn100,interes_por_vn100,amortizacion_por_vn100,moneda_flujo,descripcion
AE38D,2026-07-09,100.0,2.5,0.0,USD,intereses
AE38D,2027-01-09,100.0,2.5,0.0,USD,intereses
AE38D,2027-07-09,100.0,2.5,4.55,USD,intereses + amortizacion
AE38D,2028-01-09,95.4546,2.39,4.55,USD,intereses + amortizacion
AE38D,2028-07-09,90.9091,2.27,4.55,USD,intereses + amortizacion
AE38D,2029-01-09,86.3637,2.16,4.55,USD,intereses + amortizacion
AE38D,2029-07-09,81.8182,2.05,4.55,USD,intereses + amortizacion
AE38D,2030-01-09,77.2728,1.93,4.55,USD,intereses + amortizacion
AE38D,2030-07-09,72.7273,1.82,4.55,USD,intereses + amortizacion
AE38D,2031-01-09,68.1819,1.7,4.55,USD,intereses + amortizacion
AE38D,2031-07-09,63.6364,1.59,4.55,USD,intereses + amortizacion
AE38D,2032-01-09,59.0909,1.48,4.55,USD,intereses + amortizacion
AE38D,2032-07-09,54.5455,1.36,4.55,USD,intereses + amortizacion
AE38D,2033-01-09,50.0001,1.25,4.55,USD,intereses + amortizacion
AE38D,2033-07-09,45.4546,1.14,4.55,USD,intereses + amortizacion
AE38D,2034-01-09,40.9092,1.02,4.55,USD,intereses + amortizacion
AE38D,2034-07-09,36.3637,0.91,4.55,USD,intereses + amortizacion
AE38D,2035-01-09,31.8183,0.8,4.55,USD,intereses + amortizacion
AE38D,2035-07-09,27.2728,0.68,4.55,USD,intereses + amortizacion
AE38D,2036-01-09,22.7274,0.57,4.55,USD,intereses + amortizacion
AE38D,2036-07-09,18.1819,0.45,4.55,USD,intereses + amortizacion
AE38D,2037-01-09,13.6365,0.34,4.55,USD,intereses + amortizacion
AE38D,2037-07-09,9.0909,0.23,4.55,USD,intereses + amortizacion
AE38D,2038-01-09,4.5455,0.11,4.55,USD,intereses + amortizacion
AL29D,2026-07-09,70.0,0.35,10.0,USD,intereses + amortizacion
AL29D,2027-01-09,60.0,0.3,10.0,USD,intereses + amortizacion
AL29D,2027-07-09,50.0,0.25,10.0,USD,intereses + amortizacion
AL29D,2028-01-09,40.0,0.2,10.0,USD,intereses + amortizacion
AL29D,2028-07-09,30.0,0.15,10.0,USD,intereses + amortizacion
AL29D,2029-01-09,20.0,0.1,10.0,USD,intereses + amortizacion
AL29D,2029-07-09,10.0,0.05,10.0,USD,intereses + amortizacion
AL30D,2026-07-09,72.0000,0.2700,8.0000,USD,intereses + amortizacion
AL30D,2027-01-09,64.0000,0.2400,8.0000,USD,intereses + amortizacion
AL30D,2027-07-09,56.0000,0.2100,8.0000,USD,intereses + amortizacion
AL30D,2028-01-09,48.0000,0.4200,8.0000,USD,intereses + amortizacion
AL30D,2028-07-09,40.0000,0.3500,8.0000,USD,intereses + amortizacion
AL30D,2029-01-09,32.0000,0.2800,8.0000,USD,intereses + amortizacion
AL30D,2029-07-09,24.0000,0.2100,8.0000,USD,intereses + amortizacion
AL30D,2030-01-09,16.0000,0.1400,8.0000,USD,intereses + amortizacion
AL30D,2030-07-09,8.0000,0.0700,8.0000,USD,intereses + amortizacion
AL35D,2026-07-09,100.0,2.06,0.0,USD,intereses
AL35D,2027-01-09,100.0,2.06,0.0,USD,intereses
AL35D,2027-07-09,100.0,2.06,0.0,USD,intereses
AL35D,2028-01-09,100.0,2.38,0.0,USD,intereses
AL35D,2028-07-09,100.0,2.38,0.0,USD,intereses
AL35D,2029-01-09,100.0,2.5,0.0,USD,intereses
AL35D,2029-07-09,100.0,2.5,0.0,USD,intereses
AL35D,2030-01-09,100.0,2.5,0.0,USD,intereses
AL35D,2030-07-09,100.0,2.5,0.0,USD,intereses
AL35D,2031-01-09,100.0,2.5,10.0,USD,intereses + amortizacion
AL35D,2031-07-09,90.0,2.25,10.0,USD,intereses + amortizacion
AL35D,2032-01-09,80.0,2.0,10.0,USD,intereses + amortizacion
AL35D,2032-07-09,70.0,1.75,10.0,USD,intereses + amortizacion
AL35D,2033-01-09,60.0,1.5,10.0,USD,intereses + amortizacion
AL35D,2033-07-09,50.0,1.25,10.0,USD,intereses + amortizacion
